Sample,Model,WER,MER,WIL,WIP,CER
sample1_antwerpen_laura,assemblyAI,0.6,0.5714285714285714,0.7905172413793103,0.20948275862068966,0.26006191950464397
,whisperAI,0.8,0.676056338028169,0.8740476190476191,0.12595238095238095,0.4241486068111455
,google_cloud_stt,0.85,0.8225806451612904,0.9570921985815602,0.042907801418439716,0.5046439628482973
,aws_transcriber,0.65,0.6290322580645161,0.8479885057471264,0.15201149425287358,0.30340557275541796
,wav2vec2,0.8333333333333334,0.8333333333333334,0.9696969696969697,0.030303030303030304,0.44272445820433437
,azure,0.7333333333333333,0.6567164179104478,0.8643589743589744,0.13564102564102565,0.34365325077399383
sample2_limburg_yannick,assemblyAI,0.5818181818181818,0.5245901639344263,0.7493293591654248,0.25067064083457524,0.27631578947368424
,whisperAI,1.018181818181818,0.8615384615384616,0.9769886363636364,0.023011363636363635,0.4769736842105263
,google_cloud_stt,0.6727272727272727,0.6271186440677966,0.7904761904761904,0.20952380952380956,0.4276315789473684
,aws_transcriber,0.6181818181818182,0.5666666666666667,0.7880877742946708,0.21191222570532917,0.27960526315789475
,wav2vec2,0.9272727272727272,0.8947368421052632,0.9883116883116884,0.011688311688311687,0.4243421052631579
,azure,0.6727272727272727,0.6166666666666667,0.8312599681020734,0.1687400318979266,0.3355263157894737
sample3_brugge_maxime,assemblyAI,0.7674418604651163,0.7333333333333333,0.9238900634249472,0.07610993657505284,0.26141078838174275
,whisperAI,1.0232558139534884,0.8979591836734694,0.9878875968992248,0.012112403100775194,0.5269709543568465
,google_cloud_stt,0.8837209302325582,0.8837209302325582,0.9767441860465116,0.023255813953488372,0.6016597510373444
,aws_transcriber,0.8604651162790697,0.7708333333333334,0.9296511627906977,0.07034883720930234,0.4190871369294606
,wav2vec2,0.8837209302325582,0.8837209302325582,0.9833887043189369,0.01661129568106312,0.4149377593360996
,azure,0.8372093023255814,0.8,0.9551495016611296,0.044850498338870434,0.34024896265560167
sample4_gent_charlotte,assemblyAI,0.5285714285714286,0.5068493150684932,0.7428571428571429,0.2571428571428571,0.2132132132132132
,whisperAI,0.8142857142857143,0.75,0.927364185110664,0.072635814889336,0.42342342342342343
,google_cloud_stt,0.7142857142857143,0.704225352112676,0.8811320754716981,0.11886792452830189,0.39039039039039036
,aws_transcriber,0.5571428571428572,0.52,0.7498069498069498,0.25019305019305016,0.2012012012012012
,wav2vec2,0.8428571428571429,0.8428571428571429,0.9691326530612245,0.03086734693877551,0.43543543543543545
,azure,0.6428571428571429,0.6164383561643836,0.8352941176470589,0.16470588235294117,0.3063063063063063
sample5_algemeenNederlands_julie,assemblyAI,0.20833333333333334,0.19607843137254902,0.3133169934640523,0.6866830065359477,0.05102040816326531
,whisperAI,0.4583333333333333,0.41509433962264153,0.6149839743589743,0.38501602564102566,0.1598639455782313
,google_cloud_stt,0.4375,0.40384615384615385,0.5740248226950355,0.42597517730496454,0.15306122448979592
,aws_transcriber,0.3125,0.28846153846153844,0.4515224358974359,0.5484775641025641,0.05442176870748299
,wav2vec2,0.5625,0.5094339622641509,0.7342767295597484,0.26572327044025157,0.14625850340136054
,azure,0.20833333333333334,0.19607843137254902,0.3133169934640523,0.6866830065359477,0.04081632653061224
