Sample,Model,WER,MER,WIL,WIP,CER
sample1_antwerpen,assemblyAI,0.6,0.571428571,0.790517241,0.209482759,0.26006192
,whisperAI,0.8,0.676056338,0.874047619,0.125952381,0.424148607
,google_cloud_stt,0.85,0.822580645,0.957092199,0.042907801,0.504643963
,aws_transcriber,0.65,0.629032258,0.847988506,0.152011494,0.303405573
,wav2vec2,0.833333333,0.833333333,0.96969697,0.03030303,0.442724458
,azure,0.733333333,0.656716418,0.864358974,0.135641026,0.343653251
sample2_limburg,assemblyAI,0.581818182,0.524590164,0.749329359,0.250670641,0.276315789
,whisperAI,1.018181818,0.861538462,0.976988636,0.023011364,0.476973684
,google_cloud_stt,0.672727273,0.627118644,0.79047619,0.20952381,0.427631579
,aws_transcriber,0.618181818,0.566666667,0.788087774,0.211912226,0.279605263
,wav2vec2,0.927272727,0.894736842,0.988311688,0.011688312,0.424342105
,azure,0.672727273,0.616666667,0.831259968,0.168740032,0.335526316
sample3_brugge,assemblyAI,0.76744186,0.733333333,0.923890063,0.076109937,0.261410788
,whisperAI,1.023255814,0.897959184,0.987887597,0.012112403,0.526970954
,google_cloud_stt,0.88372093,0.88372093,0.976744186,0.023255814,0.601659751
,aws_transcriber,0.860465116,0.770833333,0.929651163,0.070348837,0.419087137
,wav2vec2,0.88372093,0.88372093,0.983388704,0.016611296,0.414937759
,azure,0.837209302,0.8,0.955149502,0.044850498,0.340248963
sample4_gent,assemblyAI,0.528571429,0.506849315,0.742857143,0.257142857,0.213213213
,whisperAI,0.814285714,0.75,0.927364185,0.072635815,0.423423423
,google_cloud_stt,0.714285714,0.704225352,0.881132075,0.118867925,0.39039039
,aws_transcriber,0.557142857,0.52,0.74980695,0.25019305,0.201201201
,wav2vec2,0.842857143,0.842857143,0.969132653,0.030867347,0.435435435
,azure,0.642857143,0.616438356,0.835294118,0.164705882,0.306306306
sample5_algemeenNederlands,assemblyAI,0.208333333,0.196078431,0.313316993,0.686683007,0.051020408
,whisperAI,0.458333333,0.41509434,0.614983974,0.385016026,0.159863946
,google_cloud_stt,0.4375,0.403846154,0.574024823,0.425975177,0.153061224
,aws_transcriber,0.3125,0.288461538,0.451522436,0.548477564,0.054421769
,wav2vec2,0.5625,0.509433962,0.73427673,0.26572327,0.146258503
,azure,0.208333333,0.196078431,0.313316993,0.686683007,0.040816327
